timestamp,nation,unit_id,action_type,from_q,from_r,to_q,to_r,reason
2025-08-24T21:46:25.651565,Polska,TS_Kompania__3_Sam_Pancerny_Einheit,move_failed,14,15,13,15,Failed: Brak ścieżki do celu.
2025-08-24T21:46:25.655165,Polska,P_Kompania__3_Batalion_Strzelc_w,move_partial,16,14,15,14,"Partial path to target [13, 15] (MP limited)"
2025-08-24T21:46:25.725241,Polska,TL_Batalion__3_Kompania_Czo_g_w_Lekkich,move_failed,15,16,13,15,Failed: Brak ścieżki do celu.
2025-08-24T21:46:25.726283,Polska,TURN_END,turn_summary,,,,,Turn completed: 2/9 units moved
2025-08-24T21:46:25.760336,Niemcy,TURN_START,turn_begin,,,,,AI Commander turn started for player 5
2025-08-24T21:46:25.774184,Niemcy,P_Batalion__5_Sch_tzen_Kompanie,move_failed,42,-14,44,-15,Failed: Brak ścieżki do celu.
2025-08-24T21:46:25.779498,Niemcy,TŚ_Pluton__5_Panzer_Brigade,move_partial,41,-13,44,-16,"Partial path to target (44, -15) (MP limited)"
2025-08-24T21:46:25.785898,Niemcy,K_Batalion__5_Kawaleria_Einheit,move_failed,44,-14,44,-15,Failed: Brak ścieżki do celu.
2025-08-24T21:46:25.789188,Niemcy,P_Kompania__5_Sch_tzen_Kompanie,move_failed,45,-16,44,-15,Failed: Brak ścieżki do celu.
2025-08-24T21:46:25.791017,Niemcy,TL_Kompania__5_Panzer_Zug,move_full,43,-15,44,-15,"Full path to target (44, -15)"
2025-08-24T21:46:25.791017,Niemcy,P_Pluton__5_Infanterie_Regiment,move_full,43,-14,43,-15,"Full path to target (43, -15)"
2025-08-24T21:46:25.800547,Niemcy,P_Kompania__5_Grenadier_Bataillon,move_partial,47,-13,45,-13,"Partial path to target [43, -14] (MP limited)"
2025-08-24T21:46:25.805169,Niemcy,AL_Kompania__5_Artillerie_Abteilung,move_partial,48,-15,47,-15,"Partial path to target [43, -14] (MP limited)"
2025-08-24T21:46:25.805169,Niemcy,TURN_END,turn_summary,,,,,Turn completed: 5/9 units moved
2025-08-24T21:46:25.813992,Niemcy,TURN_START,turn_begin,,,,,AI Commander turn started for player 6
2025-08-24T21:46:26.443932,Niemcy,TURN_END,turn_summary,,,,,Turn completed: 0/17 units moved
2025-08-24T21:46:26.487401,Polska,TURN_START,turn_begin,,,,,AI Commander turn started for player 2
2025-08-24T21:46:26.924885,Polska,TL_Kompania__2_Pluton_Tankietek,move_failed,16,-5,14,-5,Failed: Brak ścieżki do celu.
2025-08-24T21:46:27.048621,Polska,TURN_END,turn_summary,,,,,Turn completed: 0/16 units moved
2025-08-24T21:46:27.074964,Polska,TURN_START,turn_begin,,,,,AI Commander turn started for player 3
2025-08-24T21:46:27.147747,Polska,TS_Kompania__3_Sam_Pancerny_Einheit,move_failed,14,15,13,15,Failed: Brak ścieżki do celu.
2025-08-24T21:46:27.218592,Polska,P_Kompania__3_Batalion_Strzelc_w,move_failed,15,14,14,13,Failed: Brak ścieżki do celu.
2025-08-24T21:46:27.282183,Polska,TL_Batalion__3_Kompania_Czo_g_w_Lekkich,move_failed,15,16,13,15,Failed: Brak ścieżki do celu.
2025-08-24T21:46:27.282183,Polska,TURN_END,turn_summary,,,,,Turn completed: 0/9 units moved
2025-08-24T21:46:27.331191,Niemcy,TURN_START,turn_begin,,,,,AI Commander turn started for player 5
2025-08-24T21:46:27.411814,Niemcy,P_Batalion__5_Sch_tzen_Kompanie,move_failed,42,-14,43,-14,Failed: Brak ścieżki do celu.
2025-08-24T21:46:27.549115,Niemcy,TŚ_Pluton__5_Panzer_Brigade,move_failed,44,-16,41,-13,Failed: Brak ścieżki do celu.
2025-08-24T21:46:27.630255,Niemcy,K_Batalion__5_Kawaleria_Einheit,move_failed,44,-14,43,-14,Failed: Brak ścieżki do celu.
2025-08-24T21:46:27.703339,Niemcy,P_Kompania__5_Sch_tzen_Kompanie,move_partial,45,-16,44,-17,"Partial path to target [43, -14] (MP limited)"
2025-08-24T21:46:27.707771,Niemcy,TL_Kompania__5_Panzer_Zug,move_partial,44,-15,43,-14,"Partial path to target [43, -14] (MP limited)"
2025-08-24T21:46:27.714846,Niemcy,P_Pluton__5_Infanterie_Regiment,move_failed,43,-15,44,-15,Failed: Brak ścieżki do celu.
2025-08-24T21:46:27.719544,Niemcy,P_Kompania__5_Grenadier_Bataillon,move_failed,45,-13,45,-15,Failed: Brak ścieżki do celu.
2025-08-24T21:46:27.719544,Niemcy,TURN_END,turn_summary,,,,,Turn completed: 2/9 units moved
2025-08-24T21:46:27.719544,Niemcy,TURN_START,turn_begin,,,,,AI Commander turn started for player 6
2025-08-24T21:46:28.352174,Niemcy,TURN_END,turn_summary,,,,,Turn completed: 0/17 units moved
2025-08-24T21:46:28.386692,Polska,TURN_START,turn_begin,,,,,AI Commander turn started for player 2
2025-08-24T21:46:28.833711,Polska,TL_Kompania__2_Pluton_Tankietek,move_failed,16,-5,14,-5,Failed: Brak ścieżki do celu.
2025-08-24T21:46:28.976027,Polska,TURN_END,turn_summary,,,,,Turn completed: 0/16 units moved
2025-08-24T21:46:28.985946,Polska,TURN_START,turn_begin,,,,,AI Commander turn started for player 3
2025-08-24T21:46:29.061871,Polska,TS_Kompania__3_Sam_Pancerny_Einheit,move_failed,14,15,13,15,Failed: Brak ścieżki do celu.
2025-08-24T21:46:29.300922,Polska,P_Kompania__3_Batalion_Strzelc_w,move_failed,15,14,14,13,Failed: Brak ścieżki do celu.
2025-08-24T21:46:29.400773,Polska,TL_Batalion__3_Kompania_Czo_g_w_Lekkich,move_failed,15,16,13,15,Failed: Brak ścieżki do celu.
2025-08-24T21:46:29.400773,Polska,TURN_END,turn_summary,,,,,Turn completed: 0/9 units moved
2025-08-24T21:46:29.440624,Niemcy,TURN_START,turn_begin,,,,,AI Commander turn started for player 5
2025-08-24T21:46:29.461675,Niemcy,P_Batalion__5_Sch_tzen_Kompanie,move_failed,42,-14,45,-16,Failed: Brak ścieżki do celu.
2025-08-24T21:46:29.466623,Niemcy,TŚ_Pluton__5_Panzer_Brigade,move_full,44,-16,44,-15,"Full path to target (44, -15)"
2025-08-24T21:46:29.472879,Niemcy,K_Batalion__5_Kawaleria_Einheit,move_failed,44,-14,42,-13,Failed: Brak ścieżki do celu.
2025-08-24T21:46:29.476054,Niemcy,TL_Kompania__5_Panzer_Zug,move_full,43,-14,42,-13,"Full path to target (42, -13)"
2025-08-24T21:46:29.546517,Niemcy,P_Pluton__5_Infanterie_Regiment,move_failed,43,-15,43,-14,Failed: Brak ścieżki do celu.
2025-08-24T21:46:29.619406,Niemcy,P_Kompania__5_Grenadier_Bataillon,move_failed,45,-13,43,-12,Failed: Brak ścieżki do celu.
